GEO_ID,Total population,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,Name,State,County,Tract
1400000US06013303202,7083,46.6,8.1,12,11.4,8.8,4.7,8.5,22.6,11.8,4.1,2.9,2.6,1.9,0.4,30.5,75.4,5.4,0,5.5,0,6.5,7.2,Census Tract 3032.02; Contra Costa County; California,6,13,303202
1400000US06013303203,7090,47.2,5.3,9.6,11.5,8.6,2.8,8.7,19.8,12.2,4.5,2.1,7.6,5.9,1.4,38,73.3,6.8,0,12.2,0,3.4,4.3,"Census Tract 3032.03, Contra Costa County, California",6,13,303203
1400000US06013303204,4383,48.6,5.7,8.2,6.7,8.8,7.9,12.7,10.5,17.3,7.6,2,6.4,4.6,1.6,38,70.7,3.7,2.4,2.7,0,11.4,9.1,Census Tract 3032.04; Contra Costa County; California,6,13,303204
1400000US06013303205,7532,45.8,2.7,10.1,4.5,6.8,2,5.1,12,11.6,7.2,10.8,16.3,7.9,2.9,49.4,76.2,4.4,0.5,9,0.2,3.8,5.9,"Census Tract 3032.05, Contra Costa County, California",6,13,303205
1400000US06013304001,3092,49.2,5.8,12.9,11.6,4.9,2.9,8.7,26.6,15,2.7,2.6,3.5,2,0.7,36.2,64.3,3.2,0,19.7,0,7.4,5.5,Census Tract 3040.01; Contra Costa County; California,6,13,304001
1400000US06013304002,1297,54.9,2.7,12.9,1.9,16.5,0,4.9,10.5,22.7,4,9.5,13.8,0.6,0,45.1,81.6,6.3,0,0,0,12,0,Census Tract 3040.02; Contra Costa County; California,6,13,304002
1400000US06013304003,3476,49.7,1.9,4.7,6.9,5.8,2.1,4.5,17.1,19.1,7.3,12.2,12.2,2,4.1,48.8,87.1,8.3,0,2,0,1.8,0.8,Census Tract 3040.03; Contra Costa County; California,6,13,304003
1400000US06013304004,3271,54,8.1,6.3,4.8,3.6,0.8,7.9,14.1,17.9,10.9,9.5,14.6,1.5,0,48.4,95.5,1.2,0.6,0.4,1.1,0,1.3,Census Tract 3040.04; Contra Costa County; California,6,13,304004
1400000US06013304005,5778,50.1,9.3,6.5,9.5,8.5,2,22.1,18.9,9.6,3.4,2.1,4.9,3,0.1,30.5,76.2,1,0,8.9,1.2,6.2,6.5,"Census Tract 3040.05, Contra Costa County, California",6,13,304005
1400000US06013305000,5594,53.1,8.8,8.7,9,7.3,5.8,15.7,14.8,12.8,3.8,4,5,3,1.3,31.6,58.2,7.1,1.2,1.4,2.4,25.3,4.3,Census Tract 3050; Contra Costa County; California,6,13,305000
1400000US06013306002,3191,52.6,4.2,5.2,4.4,8.4,11,13.2,10.8,10.6,10.1,5.4,6.4,6.3,4.1,38.5,54,12.5,2.3,2.6,0.3,18.8,9.5,Census Tract 3060.02; Contra Costa County; California,6,13,306002
1400000US06013306003,4840,49.5,11.5,10.1,5.5,7.6,5.2,17.2,11.8,11.9,2.5,2,5.8,7.4,1.6,29.5,60.2,12,1.7,0.6,1.2,19.5,4.8,Census Tract 3060.03; Contra Costa County; California,6,13,306003
1400000US06013306004,3287,50.6,5.8,6.9,4.4,10.7,6,11.3,22.8,15.9,0.5,1.8,6.8,6.4,0.6,39.6,69.3,11.3,2.3,1.5,0,6.1,9.6,Census Tract 3060.04; Contra Costa County; California,6,13,306004
1400000US06013307101,4264,51,6.2,5.5,8.2,8.3,8.5,6.5,16.8,11.7,10.2,6.6,6.9,3.6,1.1,38.2,57.9,10.5,1.2,5.8,0.3,16.4,7.9,Census Tract 3071.01; Contra Costa County; California,6,13,307101
1400000US06013307102,4796,48.8,8.8,7.2,6.7,9.6,9.4,13.3,14.7,13.3,4.4,2.6,5.7,3.5,0.9,30.4,63.6,4.9,0.9,2.2,0,26.1,2.4,Census Tract 3071.02; Contra Costa County; California,6,13,307102
1400000US06013307201,2871,44.7,11.3,6.6,6.1,9.7,10.6,10.6,11.5,14.4,4.1,4.6,7.2,2,1.3,27.4,51,22.8,0.4,8.3,0,10.8,6.7,Census Tract 3072.01; Contra Costa County; California,6,13,307201
1400000US06013307202,3878,49,14.3,9.7,8.2,3,10.5,21.8,12.3,8,4,4.4,2.4,0.3,1.1,26.1,34.2,27.2,0.4,4.1,7.3,23.9,2.9,Census Tract 3072.02; Contra Costa County; California,6,13,307202
1400000US06013307204,4043,50.6,3.5,4.9,10.4,12.4,6.5,10.1,16.9,14.5,5.4,5.9,6.7,2.1,0.7,36.1,58.8,1.9,0.4,5.9,1.7,27.8,3.5,Census Tract 3072.04; Contra Costa County; California,6,13,307204
1400000US06013307205,6511,46,11.3,4.5,6.1,6.4,15.5,18.3,11.5,11.5,3.7,3,4.3,2.4,1.3,28.1,51.2,20.5,0.5,8.9,0,17.7,1.3,Census Tract 3072.05; Contra Costa County; California,6,13,307205
1400000US06013308001,7362,47,6.1,9.2,8.5,7.8,7,10.5,14.2,16.6,6.8,3.6,5.9,2.8,1,35.3,69.5,11.5,1.3,1.5,0,12.3,4,Census Tract 3080.01; Contra Costa County; California,6,13,308001
1400000US06013308002,4334,53.9,5.9,8.6,10.4,8.3,3.9,11.7,16.5,18.8,4.8,6.4,4.5,0.3,0,35.5,56.1,8.8,0.4,16.2,0.2,16.5,1.7,Census Tract 3080.02; Contra Costa County; California,6,13,308002
1400000US06013309000,2307,50.9,6.3,7.4,5.3,5.9,10.4,8.9,19.1,14.2,6.8,5.3,7,2.9,0.5,40.2,40.4,36.2,1.7,13.2,0,5.4,3.1,Census Tract 3090; Contra Costa County; California,6,13,309000
1400000US06013310000,5540,48.6,8.6,9.8,9.3,12.6,4.5,15.1,13.2,16.8,3.8,3.4,1.2,1.3,0.4,28.8,35.5,19.3,1.5,10.4,0,26.3,7,Census Tract 3100; Contra Costa County; California,6,13,310000
1400000US06013311000,4842,47.4,11.8,9.9,8.9,6.7,7.3,15.2,13.2,9.6,6.4,2,4,3.9,1,28.5,33.7,25.5,0,11.6,0,22.6,6.6,Census Tract 3110; Contra Costa County; California,6,13,311000
1400000US06013312000,2491,48,12.2,6.5,11,6.5,5.9,16.2,9.2,13.7,3.1,2.5,6.2,4.7,2.2,28.7,30.7,35.9,0,8.1,0,18.7,6.5,Census Tract 3120; Contra Costa County; California,6,13,312000
