Total population,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,GEO_ID,Name,State,County,Tract
3964,50.9,9.3,11.3,11.9,11.8,4.8,17,15.8,10.2,3,1.3,1.9,1.6,0.1,25.4,55.4,0.1,0,0.7,0.3,42.4,1.2,1400000US06037534405,"Census Tract 5344.05, Los Angeles County, California",6,37,534405
5753,47.6,7.5,5.6,10.1,10.4,9,16.8,14.4,12.3,4.6,3.4,3.5,1.9,0.5,30.2,54.6,1.6,1.1,1.1,0,40.4,1.3,1400000US06037534501,"Census Tract 5345.01, Los Angeles County, California",6,37,534501
4002,52,8.9,7.6,8.1,9.1,6.1,13.9,14,13.7,4.9,3.7,4.6,3.6,1.7,32.8,59.2,0,0,0.2,0,39.3,1.4,1400000US06037534700,"Census Tract 5347, Los Angeles County, California",6,37,534700
3586,45.3,12.5,8.9,9.6,5.9,7.9,16.8,14.2,12.5,4,2.3,4.4,0.9,0,27.3,34.7,0,0,0,0.1,65.1,0,1400000US06037535501,"Census Tract 5355.01, Los Angeles County, California",6,37,535501
5219,50.9,10.7,7.7,5.4,9.6,11.1,15.8,17.6,9.5,5.6,2.6,2.9,1.4,0,27.3,44.1,0.9,0,1.8,0,51.7,1.5,1400000US06037535804,"Census Tract 5358.04, Los Angeles County, California",6,37,535804
7281,50.5,9.4,9.9,11.5,7.3,7.6,15.2,13.7,10.3,3.4,1.5,5.2,2.9,2,28.1,32.1,5.1,0,1,0,60,1.8,1400000US06037540202,"Census Tract 5402.02, Los Angeles County, California",6,37,540202
5661,50.1,8.2,6.9,9.8,12.9,12.9,9.3,18.3,9.8,2.5,4.6,2,2,0.9,24.7,39.8,3.7,1.7,0.9,0,48.5,5.3,1400000US06037540300,"Census Tract 5403, Los Angeles County, California",6,37,540300
8421,28.1,4.1,7.6,8.4,8.8,10.1,18.7,21.1,12.6,2.6,1.9,3.3,0.8,0.1,30.6,39.5,22.1,1,1.6,0.1,34.1,1.7,1400000US06037540501,"Census Tract 5405.01, Los Angeles County, California",6,37,540501
983,54.9,0,2.7,10.1,3.5,8,3.7,12.5,15.3,5.6,13.8,15.3,9.5,0.1,48.2,22.4,27.9,0,21,0,17.6,11.2,1400000US06037541001,"Census Tract 5410.01, Los Angeles County, California",6,37,541001
4108,44.1,12.8,9,10,10.5,9.2,12.5,13.8,10.2,3.2,2.8,4,0.7,1.3,24.5,26.9,34.9,1.7,0,0,35.6,0.9,1400000US06037542502,"Census Tract 5425.02, Los Angeles County, California",6,37,542502
