White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,GEO_ID,Total population,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Name,State,County,Tract
79,4.2,0.2,3.7,0,7.9,5.1,1400000US06053011400,4589,57.5,5.9,5.3,4.9,10.1,13.8,16.2,8.6,12.2,5.2,4.1,8.1,5,0.5,28.7,"Census Tract 114, Monterey County, California",6,53,11400
88.4,0.7,0,3.7,0,0.9,6.3,1400000US06053012100,2189,47.3,4.4,7.4,7.2,5.3,4.3,3.7,11.2,13.7,8.2,5.8,12,9.5,7.3,50,"Census Tract 121, Monterey County, California",6,53,12100
79.9,5.8,1.1,3.8,0,0.2,9.2,1400000US06053012600,2414,65.5,1,0.8,0.7,22.7,49,22.7,1.6,0.3,0.2,0.2,0.7,0.2,0,21.7,"Census Tract 126, Monterey County, California",6,53,12600
85.8,1.1,0.4,9.4,0,0,3.3,1400000US06053013200,4075,47.5,3.3,3.9,4.5,3.6,2.1,6.3,8.7,13.3,11.9,12.2,17.6,8.7,4,56.3,"Census Tract 132, Monterey County, California",6,53,13200
70.8,1.9,1.7,6.8,0.3,10.5,8,1400000US06053013300,6110,48.4,7.5,5,4.3,3.9,14.5,15.1,12,15.2,5.3,5.4,7.1,2.9,1.9,34.9,"Census Tract 133, Monterey County, California",6,53,13300
56.2,2.7,0,29.9,0.1,6.5,4.5,1400000US06073008339,2053,58.2,3.8,2,2.3,5.2,37.9,23.3,12.8,7.4,1.9,1.1,1.5,0.5,0.2,24.4,"Census Tract 83.39, San Diego County, California",6,73,8339
33.9,3.1,0.2,45,0.4,7.8,9.6,1400000US06073008347,7037,52.7,6.6,7.2,5.1,4.5,2.9,17.6,13.8,13.4,6.9,6.4,10.7,4.5,0.4,39.2,"Census Tract 83.47, San Diego County, California",6,73,8347
28.5,4.6,0,48.6,1.2,5.4,11.7,1400000US06073008354,9862,45.7,9.7,5.7,3.9,3.5,6.8,27,14.5,13.5,3.7,4.2,4.3,2,1.2,31.5,"Census Tract 83.54, San Diego County, California",6,73,8354
59.5,2.7,0.4,25.2,0,8.5,3.7,1400000US06073008505,6576,51.7,5.9,5,2.9,3,10.3,17.2,15.3,14.5,7.9,6.8,5,2.7,3.6,38.7,"Census Tract 85.05, San Diego County, California",6,73,8505
81.9,3.4,1,3.6,0,5.4,4.7,1400000US06073017604,7427,46.7,8.5,6.1,4.5,7.1,3.9,14.5,11.3,14.3,5.2,3.4,8.8,7.1,5.1,39.9,"Census Tract 176.04, San Diego County, California",6,73,17604
76.6,2.1,0,3.1,0,10.6,7.5,1400000US06073018400,3275,47.9,3.7,5.6,5.2,4.8,5.1,23.2,12.9,9.3,6.4,6.7,11.3,4.7,1.2,36.8,"Census Tract 184, San Diego County, California",6,73,18400
81.5,0.2,1.9,1.7,0,6.5,8.1,1400000US06073015501,5220,52.5,6.1,4.6,5.3,6.4,7.4,12.7,10.4,13.1,9.1,9.3,11.4,2.7,1.5,42.7,"Census Tract 155.01, San Diego County, California",6,73,15501
81.1,7.7,0.3,0.8,0.4,6.2,3.5,1400000US06073015703,7066,52.3,11.4,6.4,5.7,5,8,14.9,12.9,12,5.8,4.5,7.9,3.2,2.3,33.1,"Census Tract 157.03, San Diego County, California",6,73,15703
59.2,14.5,0,6.8,0,12.1,7.4,1400000US06073015801,3584,51.4,10.4,5.6,6.7,6.3,7.5,20.2,14.3,11,7.3,0.7,5.7,3.5,0.9,31.3,"Census Tract 158.01, San Diego County, California",6,73,15801
71.2,6.6,0.8,2.5,0.6,9.2,9.1,1400000US06073015802,5175,46.3,7.1,7,5.2,5.2,5.8,13.4,14,14.1,7.3,5.1,6.1,4.8,4.8,39.2,"Census Tract 158.02, San Diego County, California",6,73,15802
65.1,8.6,0,4.6,0,17.5,4.2,1400000US06073015901,3733,54.8,7.3,12.4,6.3,6,9.1,24.3,10.1,13.2,4.6,3.2,2.5,1,0,27.2,"Census Tract 159.01, San Diego County, California",6,73,15901
69.9,4.5,0.3,4.7,0,11.8,8.7,1400000US06073016000,2290,50.8,7.8,4.5,5.4,9.3,5,17.1,13.4,11.7,7.9,5.3,6.3,4.9,1.3,36.8,"Census Tract 160, San Diego County, California",6,73,16000
82.9,2.4,0,4.1,0.3,3.8,6.4,1400000US06073016201,5207,46.9,5.4,3.7,7.7,4.9,3.4,8.7,14.5,10.4,8,11.4,8.1,8.5,5.3,46.6,"Census Tract 162.01, San Diego County, California",6,73,16201
80.9,1.1,0.5,4.4,0.3,2.6,10.1,1400000US06073016610,4185,51.7,8.4,5.1,5.1,10.7,3.6,10.1,16.9,17.9,7.5,5,6.7,2.1,0.9,39.1,"Census Tract 166.10, San Diego County, California",6,73,16610
78.9,0.9,1.9,3.9,0.4,1.7,12.3,1400000US06073016614,3936,48,8.5,7.3,8.2,7,5.3,17.3,12,15.2,7.3,3.9,5.1,2.1,0.8,33.6,"Census Tract 166.14, San Diego County, California",6,73,16614
75.5,4,1.1,5.9,0.6,7.6,5.2,1400000US06073016615,4477,35.3,4.3,4.6,4.7,5.7,5,20.7,24.7,11.7,5,5.9,4.3,1.8,1.4,36.8,"Census Tract 166.15, San Diego County, California",6,73,16615
79.1,4.5,1.2,1.7,0.6,7.9,5.1,1400000US06073016702,8101,49.2,6.2,9,4.6,6,6.9,13.7,15.3,10.1,5,5.4,10,3.2,4.6,36.5,"Census Tract 167.02, San Diego County, California",6,73,16702
77.7,2.5,0,14.3,0,0,5.5,1400000US06073017022,5708,46.1,6.2,5.8,7.2,8.8,4.2,13.5,12.4,14.3,7.9,4.4,11.1,3.2,0.9,37.2,"Census Tract 170.22, San Diego County, California",6,73,17022
88.9,0.3,0,5,0,0.9,5.1,1400000US06073017108,4785,48.5,7.1,7.8,5.9,4,3.6,10.4,13.4,15.4,8,8.7,11.3,3.8,0.6,43.4,"Census Tract 171.08, San Diego County, California",6,73,17108
89.3,0.9,0,7.4,0,0.4,2,1400000US06073017305,3247,49.2,3.1,5.3,5.4,7.2,1.4,11.9,7.8,16,6.4,6,19.5,7.6,2.2,50.5,"Census Tract 173.05, San Diego County, California",6,73,17305
85.8,0.3,0.2,8.5,0,0.9,4.2,1400000US06073017811,7107,48.3,5.3,7.9,7.1,3.6,3,16.4,13,15.5,8.7,5.5,6.8,5.6,1.6,39.4,"Census Tract 178.11, San Diego County, California",6,73,17811
68.5,4.1,0.3,3.3,3.7,12.4,7.8,1400000US06073018511,5382,49.7,6.3,8,4.8,5,5.1,22.7,11.4,14.8,7.1,4.6,6.7,1.6,1.9,34.2,"Census Tract 185.11, San Diego County, California",6,73,18511
65.7,11.4,1.7,10.5,0.2,4.8,5.8,1400000US06073018514,8650,48.9,1.7,5.6,6.8,5.7,10.2,11.5,11.9,19.3,6.4,5.1,9.5,4.9,1.5,41.1,"Census Tract 185.14, San Diego County, California",6,73,18514
76.7,3.7,3.1,7.3,3.3,2.8,2.9,1400000US06073018516,4166,50.9,8.4,5,4.5,6.9,7.3,25.5,10.2,10.7,5.9,6.3,4.3,4.3,0.9,31.9,"Census Tract 185.16, San Diego County, California",6,73,18516
79.1,2.2,0.4,10.1,0.3,0.4,7.5,1400000US06073018601,5339,52.7,8.3,6.6,6.4,6.2,4.2,10.6,14,14.9,9.6,7.9,7.5,3.7,0.2,40.9,"Census Tract 186.01, San Diego County, California",6,73,18601
71.5,3.6,0.8,7.4,0.4,7.6,8.7,1400000US06073018609,6502,49.2,4.2,6.6,7.9,6.8,8.4,17.6,12.8,15.2,8.5,3.5,6.4,1.5,0.7,33.8,"Census Tract 186.09, San Diego County, California",6,73,18609
90.9,2.1,0.1,0.7,0.6,1.2,4.4,1400000US06073018801,3957,44.3,2.9,3.9,6.8,6.2,7.2,6.6,10.2,14.9,8.4,5.8,14,9.8,3.1,50.1,"Census Tract 188.01, San Diego County, California",6,73,18801
77.3,3.2,0,2.6,0.1,13.8,3.1,1400000US06073018905,7270,46.6,8.2,5.4,9.3,9.2,11.6,13.7,11.8,15.2,3.9,3.9,4.3,2.8,0.8,29.4,"Census Tract 189.05, San Diego County, California",6,73,18905
84.2,4.1,0,2.2,0,5.8,3.6,1400000US06073019602,5100,52.7,5.2,9,5.4,5.9,6.9,12.9,13.6,16.4,5,5.3,7.5,4.9,2,38.2,"Census Tract 196.02, San Diego County, California",6,73,19602
81.1,3.9,0.2,3.1,0.3,5.9,5.6,1400000US06073019902,4229,52.7,8.9,4.5,5.4,7.9,8.9,16.8,11.8,14.3,5.3,4.9,8.4,2.3,0.5,34,"Census Tract 199.02, San Diego County, California",6,73,19902
83.4,3.9,0.1,5.4,0,1.7,5.5,1400000US06073019905,4313,47.2,6.2,4.7,5.2,4.8,6.5,16.4,12.3,14.9,6.4,6.5,9.9,3.8,2.4,39,"Census Tract 199.05, San Diego County, California",6,73,19905
75.1,0.5,0,12,0,3.3,9.1,1400000US06073020013,14446,47.7,5.8,8.4,9.7,7.7,3.9,6.2,17.3,17.7,6.8,4.6,9,2.6,0.2,40.3,"Census Tract 200.13, San Diego County, California",6,73,20013
91.1,0,0,4.3,0,0.8,3.7,1400000US06073020016,9657,49.2,7.8,7.1,8,6.7,2.6,4.5,13.2,17.1,9.6,8.1,8.5,3.9,2.8,45,"Census Tract 200.16, San Diego County, California",6,73,20016
70.3,7.9,2.4,6.6,0,5.5,7.4,1400000US06019004408,3691,50.3,4.6,3.3,2.3,3.6,8.1,32.8,6.4,13.7,6.4,5.3,9.6,2.5,1.5,31.8,"Census Tract 44.08, Fresno County, California",6,19,4408
61.9,3.4,2.8,4.1,0,17.8,10,1400000US06019004409,3368,44.8,3.4,6.7,7.2,7.1,5.3,18.1,9.5,12.4,7,8.4,9.2,3.4,2.3,37.2,"Census Tract 44.09, Fresno County, California",6,19,4409
