Name,GEO_ID,Percent high school graduate or higher,Percent bachelor's degree or higher,State,County,Tract
"Census Tract 637.01, Orange County, California",1400000US06059063701,65.7,12.9,06,059,063701
"Census Tract 639.03, Orange County, California",1400000US06059063903,76.7,32.1,06,059,063903
"Census Tract 639.05, Orange County, California",1400000US06059063905,91.3,38.0,06,059,063905
"Census Tract 2530, Solano County, California",1400000US06095253000,69.2,6.8,06,095,253000
"Census Tract 171.02, San Francisco County, California",1400000US06075017102,100.0,84.4,06,075,017102
"Census Tract 178.01, San Francisco County, California",1400000US06075017801,64.3,36.4,06,075,017801
"Census Tract 27.02, San Joaquin County, California",1400000US06077002702,53.7,4.5,06,077,002702
"Census Tract 31.12, San Joaquin County, California",1400000US06077003112,83.5,26.5,06,077,003112
"Census Tract 32.15, San Joaquin County, California",1400000US06077003215,88.3,27.0,06,077,003215
"Census Tract 4.02, San Joaquin County, California",1400000US06077000402,68.9,13.2,06,077,000402
"Census Tract 11.02, San Joaquin County, California",1400000US06077001102,81.1,11.1,06,077,001102
"Census Tract 23, San Joaquin County, California",1400000US06077002300,44.5,2.2,06,077,002300
"Census Tract 32.08, San Joaquin County, California",1400000US06077003208,87.9,30.3,06,077,003208
"Census Tract 34.03, San Joaquin County, California",1400000US06077003403,75.3,12.7,06,077,003403
"Census Tract 42.02, San Joaquin County, California",1400000US06077004202,92.1,33.2,06,077,004202
"Census Tract 33.08, San Joaquin County, California",1400000US06077003308,84.9,20.6,06,077,003308
"Census Tract 36.01, San Joaquin County, California",1400000US06077003601,82.2,14.9,06,077,003601
"Census Tract 43.03, San Joaquin County, California",1400000US06077004303,89.7,34.2,06,077,004303
"Census Tract 50.01, San Joaquin County, California",1400000US06077005001,85.8,22.0,06,077,005001
"Census Tract 51.24, San Joaquin County, California",1400000US06077005124,84.9,9.4,06,077,005124
"Census Tract 51.27, San Joaquin County, California",1400000US06077005127,81.3,12.2,06,077,005127
"Census Tract 27.01, San Joaquin County, California",1400000US06077002701,50.2,5.9,06,077,002701
"Census Tract 31.11, San Joaquin County, California",1400000US06077003111,87.2,19.3,06,077,003111
"Census Tract 33.06, San Joaquin County, California",1400000US06077003306,69.0,10.3,06,077,003306
"Census Tract 33.05, San Joaquin County, California",1400000US06077003305,89.2,18.6,06,077,003305
"Census Tract 3, San Joaquin County, California",1400000US06077000300,54.0,9.7,06,077,000300
"Census Tract 15, San Joaquin County, California",1400000US06077001500,58.6,6.3,06,077,001500
"Census Tract 32.10, San Joaquin County, California",1400000US06077003210,85.0,31.3,06,077,003210
"Census Tract 32.14, San Joaquin County, California",1400000US06077003214,92.0,25.2,06,077,003214
"Census Tract 33.07, San Joaquin County, California",1400000US06077003307,74.3,10.4,06,077,003307
"Census Tract 34.07, San Joaquin County, California",1400000US06077003407,59.6,7.1,06,077,003407
