Name,GEO_ID,"Less than $50,000","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 to $299,999","$300,000 to $499,999","$500,000 or more",Median (dollars),State,County,Tract
"Census Tract 15.01, Merced County, California",1400000US06047001501,1.7,11.3,80.5,1.9,3.2,0,1.5,188000,6,47,1501
"Census Tract 314.05, El Dorado County, California",1400000US06017031405,0,1,42.8,45.1,5.5,3.9,1.7,322100,6,17,31405
"Census Tract 315.04, El Dorado County, California",1400000US06017031504,4.2,0,44.7,27.6,21.8,1.6,0,306300,6,17,31504
"Census Tract 306.01, El Dorado County, California",1400000US06017030601,4,1.2,22.6,51,14.2,7.1,0,375400,6,17,30601
"Census Tract 309.02, El Dorado County, California",1400000US06017030902,0.7,2.1,14.1,33.1,35.9,9.1,5.1,500300,6,17,30902
"Census Tract 313.02, El Dorado County, California",1400000US06017031302,5.5,6,58.9,27.4,2.2,0,0,257600,6,17,31302
"Census Tract 302, El Dorado County, California",1400000US06017030200,0,0,14,65.8,11.6,8.6,0,404200,6,17,30200
"Census Tract 307.01, El Dorado County, California",1400000US06017030701,0,1.1,0,20.2,60.1,9.4,9.2,619300,6,17,30701
"Census Tract 309.01, El Dorado County, California",1400000US06017030901,2.5,0,11.9,44.9,32.2,7.3,1.2,464600,6,17,30901
"Census Tract 314.02, El Dorado County, California",1400000US06017031402,1.7,2.3,50.3,38.8,0.5,6.4,0,282400,6,17,31402
"Census Tract 310, El Dorado County, California",1400000US06017031000,6.2,3.4,28.8,45.9,11.9,3.7,0,348300,6,17,31000
"Census Tract 2002.02, Napa County, California",1400000US06055200202,2.5,0,0,23.9,44.8,17.4,11.4,631900,6,55,200202
"Census Tract 2004, Napa County, California",1400000US06055200400,1,0,1.6,11.4,39.9,25.9,20.2,725500,6,55,200400
"Census Tract 2009, Napa County, California",1400000US06055200900,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,6,55,200900
"Census Tract 2012, Napa County, California",1400000US06055201200,3,6,9.4,12.7,19,28.6,21.3,748200,6,55,201200
"Census Tract 428, San Francisco County, California",1400000US06075042800,1.7,0,0,1.5,2.6,5.8,88.5,2000001,6,75,42800
"Census Tract 234, San Francisco County, California",1400000US06075023400,0,0,2.7,25.9,69.4,0,2,577100,6,75,23400
"Census Tract 165, San Francisco County, California",1400000US06075016500,0,0,0,0,8,25.1,66.9,1178600,6,75,16500
"Census Tract 307, San Francisco County, California",1400000US06075030700,0,0,0.9,1.7,7.9,32.6,56.9,1071000,6,75,30700
"Census Tract 351, San Francisco County, California",1400000US06075035100,0,0,1.4,1.7,17.1,42.4,37.4,925900,6,75,35100
"Census Tract 130, San Francisco County, California",1400000US06075013000,0,0,0,7.4,0,0,92.6,-666666666,6,75,13000
"Census Tract 260.02, San Francisco County, California",1400000US06075026002,0,0,1.1,8.3,44.2,35.9,10.5,729400,6,75,26002
"Census Tract 264.02, San Francisco County, California",1400000US06075026402,0.6,0,3.6,5.8,57.9,20.1,12,672900,6,75,26402
"Census Tract 303.01, San Francisco County, California",1400000US06075030301,1.3,0,0,5.5,11,10.5,71.7,1230600,6,75,30301
"Census Tract 308, San Francisco County, California",1400000US06075030800,1.4,0,0,0,2.6,19.7,76.2,1346100,6,75,30800
"Census Tract 254.02, San Francisco County, California",1400000US06075025402,0,1.7,3.1,0,7.9,41.4,45.9,975100,6,75,25402
"Census Tract 262, San Francisco County, California",1400000US06075026200,2,0,2.2,9.5,52.9,27.6,5.7,671100,6,75,26200
"Census Tract 216, San Francisco County, California",1400000US06075021600,3.4,0,4.3,12.7,9.4,10.8,59.4,1117200,6,75,21600
"Census Tract 309, San Francisco County, California",1400000US06075030900,1.1,0,1,0,7.9,8.4,81.6,1350500,6,75,30900
"Census Tract 479.01, San Francisco County, California",1400000US06075047901,0,0,3.2,0,22.3,33,41.6,936000,6,75,47901
"Census Tract 100, Sierra County, California",1400000US06091010000,0,14.4,45.4,28.8,7,0,4.5,252700,6,91,10000
"Census Tract 35.01, San Diego County, California",1400000US06073003501,4.2,3.8,47.7,44.3,0,0,0,271200,6,73,3501
"Census Tract 52, San Diego County, California",1400000US06073005200,4.2,0,17.1,73,5.7,0,0,384800,6,73,5200
"Census Tract 60, San Diego County, California",1400000US06073006000,0,0,2.3,16.3,34.3,24.3,22.9,729600,6,73,6000
"Census Tract 50, San Diego County, California",1400000US06073005000,0,0,100,0,0,0,0,-666666666,6,73,5000
"Census Tract 62, San Diego County, California",1400000US06073006200,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,-666666666,6,73,6200
"Census Tract 76, San Diego County, California",1400000US06073007600,0,0,0,15.2,35.6,5,44.2,744200,6,73,7600
"Census Tract 170.47, San Diego County, California",1400000US06073017047,0.7,0.9,0,3.6,61.8,26.1,6.8,681000,6,73,17047
"Census Tract 171.07, San Diego County, California",1400000US06073017107,0,0.7,0.5,2,36.3,52.2,8.3,800500,6,73,17107
"Census Tract 185.04, San Diego County, California",1400000US06073018504,0,0,3.5,22,37.1,29.9,7.6,665400,6,73,18504
"Census Tract 185.09, San Diego County, California",1400000US06073018509,4.2,0,28.2,55.4,12.3,0,0,347400,6,73,18509
"Census Tract 185.17, San Diego County, California",1400000US06073018517,3.4,0,52.5,32.7,7.1,0,4.3,291600,6,73,18517
"Census Tract 186.12, San Diego County, California",1400000US06073018612,0,0,6,68.2,18.5,4.3,2.9,436200,6,73,18612
"Census Tract 87.03, San Bernardino County, California",1400000US06071008703,0,0.9,13.7,40.7,37.6,1.3,5.8,475500,6,71,8703
"Census Tract 74.03, San Bernardino County, California",1400000US06071007403,2,6.4,60,23.7,0,7.8,0,263900,6,71,7403
"Census Tract 65, San Bernardino County, California",1400000US06071006500,7.2,20.5,44.2,28.1,0,0,0,175300,6,71,6500
"Census Tract 71.06, San Bernardino County, California",1400000US06071007106,0,0,58.4,38.1,2.3,0,1.1,278700,6,71,7106
"Census Tract 72, San Bernardino County, California",1400000US06071007200,3.7,10.1,70.6,13.8,1.8,0,0,223700,6,71,7200
"Census Tract 76.01, San Bernardino County, California",1400000US06071007601,2.1,14.8,76.4,4.4,2.3,0,0,165600,6,71,7601
"Census Tract 78, San Bernardino County, California",1400000US06071007800,0,0,90.5,9.5,0,0,0,221800,6,71,7800
"Census Tract 81, San Bernardino County, California",1400000US06071008100,14.6,0,36.2,33.5,15.7,0,0,291700,6,71,8100
"Census Tract 88, San Bernardino County, California",1400000US06071008800,1.5,5.3,81.1,12.2,0,0,0,215000,6,71,8800
"Census Tract 98, San Bernardino County, California",1400000US06071009800,6.3,46.5,43,0,4.3,0,0,99000,6,71,9800
"Census Tract 100.09, San Bernardino County, California",1400000US06071010009,4,1.8,81.3,12.9,0,0,0,197600,6,71,10009
"Census Tract 100.10, San Bernardino County, California",1400000US06071010010,2.5,4.7,75.9,15.1,0.9,0.8,0,216900,6,71,10010
"Census Tract 100.13, San Bernardino County, California",1400000US06071010013,1.3,5.5,77.6,13.7,0,0,2,160600,6,71,10013
"Census Tract 100.20, San Bernardino County, California",1400000US06071010020,0,8.5,71.8,19.6,0,0,0,208300,6,71,10020
"Census Tract 104.13, San Bernardino County, California",1400000US06071010413,2.5,17.1,75,4.1,0,0,1.3,159200,6,71,10413
"Census Tract 104.16, San Bernardino County, California",1400000US06071010416,2.3,11.4,75,7.1,0,2,2.3,174000,6,71,10416
"Census Tract 108.02, San Bernardino County, California",1400000US06071010802,7.2,3.1,58.3,18.2,3.4,8.3,1.4,214100,6,71,10802
"Census Tract 116, San Bernardino County, California",1400000US06071011600,0,2.5,85.6,11.9,0,0,0,216400,6,71,11600
"Census Tract 9401, San Bernardino County, California",1400000US06071940100,22,19.3,20.2,11,16.5,5.5,5.5,-666666666,6,71,940100
"Census Tract 1.08, San Bernardino County, California",1400000US06071000108,0.9,1.2,1,28.1,52.2,8.1,8.5,589700,6,71,108
"Census Tract 28.06, Kern County, California",1400000US06029002806,0,0,90.4,9.6,0,0,0,238900,6,29,2806
"Census Tract 28.13, Kern County, California",1400000US06029002813,0,29,71,0,0,0,0,130900,6,29,2813
"Census Tract 28.18, Kern County, California",1400000US06029002818,0,0,75.3,24.7,0,0,0,251000,6,29,2818
"Census Tract 31.03, Kern County, California",1400000US06029003103,4.6,46.9,37.2,4.8,6.4,0,0,98500,6,29,3103
"Census Tract 31.22, Kern County, California",1400000US06029003122,0,14,84.1,0.5,1.4,0,0,158300,6,29,3122
"Census Tract 2, Kern County, California",1400000US06029000200,0,43.7,45.7,10.5,0,0,0,110800,6,29,200
"Census Tract 5.03, Kern County, California",1400000US06029000503,4.7,2.8,39.1,47.7,3.6,0,2.2,310700,6,29,503
"Census Tract 11.01, Kern County, California",1400000US06029001101,12.5,34.6,52.9,0,0,0,0,104800,6,29,1101
"Census Tract 12.02, Kern County, California",1400000US06029001202,2.6,44.2,53.2,0,0,0,0,103300,6,29,1202
"Census Tract 18.02, Kern County, California",1400000US06029001802,0,0,92.3,7.7,0,0,0,210300,6,29,1802
"Census Tract 4, Kern County, California",1400000US06029000400,48.2,28.2,23.5,0,0,0,0,51100,6,29,400
"Census Tract 5.07, Kern County, California",1400000US06029000507,4,2.1,61,32,0,0,0.9,261200,6,29,507
"Census Tract 23.01, Kern County, California",1400000US06029002301,0,21.5,75.9,1.3,0,1.3,0,130700,6,29,2301
"Census Tract 23.02, Kern County, California",1400000US06029002302,0,68.8,27.9,0,3.2,0,0,72700,6,29,2302
"Census Tract 24, Kern County, California",1400000US06029002400,1,11.1,73.5,13.7,0.6,0,0,182100,6,29,2400
"Census Tract 28.20, Kern County, California",1400000US06029002820,1.1,0,79,12.9,5.6,0,1.3,244700,6,29,2820
"Census Tract 31.14, Kern County, California",1400000US06029003114,1.9,10.7,82.7,3.1,0,0,1.6,158200,6,29,3114
